Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C17, C19, C2, C20, C23, C25, C31, C32, C4",0603,12,0.22uf,CC0603KRX7R6BB224
"C10, C11",0603,2,9pF,
"C14, C18, C21",0805,3,10uf,GRM21BR71A106KA73K
"C15, C22, C24, C26, C6",0603,5,4.7uf,CL10B475KQ8NQNC
"C16, C5",0603,2,10nf,0603B103K160CT
C27,0603,1,2.2uf,CC0603KRX7R6BB224
C28,0805,1,0.22uf,GRM21BR71A106KA73K
C29,0603,1,10nf,CL10B475KQ8NQNC
"C3, C7",0603,2,2.2uf,CL10B225KP8NNNC
C30,0603,1,0.1uF,CC0603KRX7R6BB224
"C8, C9",0603,2,10pF,
"D1, DI3",SOT-143,2,SP0503BAHT,
"D2, D3, D4",0603,3,LED,
D5,SOT-23,1,BAT54C,
F1,0805,1,Fuse,0ZCK0050FF2E
"FB1, FB2",0805,2,Ferrite_Bead,FBMH2012HM121-T‎
"J1, J2, J4, J5",PinHeader_1x11_P2.54mm_Vertical,4,Conn_01x11_Male,
J3,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Male,
"J6, J7",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,
J8,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
L1,0805,1,4.7uH,LQM21PN4R7MGRD
NCP692,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,"OnSemi NCP692, fixed version",NCP692MN33T2G
P1,J1B1211CCD,1,J1B1211CCD,
PROG1,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,SW_Push,KMR241GLFS
Q1,SOT-23,1,Q_PMOS_GDS_DMP3125L,
"R1, R2",0603,2,5.1k,RC0603FR-075K1L
"R10, R15, R8",0603,3,1k,
"R11, R7",0603,2,16k,
"R12, R13",0603,2,56k,RMCF0603FT56K0
R14,0603,1,2.2M,
"R16, R3, R4, R6",0603,4,100k,
R17,0603,1,150R,
R18,0603,1,6.49K,
"R5, R9",0603,2,1M,
SWD1,PinHeader_1x07_P1.27mm_Vertical,1,SWD,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,BGA196C80P14X14_1200X1200X152N,1,MIMXRT1062DVJ6B,
U2,LED-APA102-2020,1,opto_APA102-2020,
U3,QFN-16-1EP_3x3mm_P0.5mm_EP1.9x1.9mm,1,MKL02Z32VFG4,
U4,SO-8_3.9x4.9mm_P1.27mm,1,MAX1562,
U5,XCVR_DP83825IRMQR,1,DP83825IRMQR,
U6,XSON8_4x4mm,1,W25Q64JVXGIM,
U7,SOP-8_3.9x4.9mm_P1.27mm,1,PSRAM APS640L 3SQR (1),
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,2nd PSRAM/Flash  APS640L 3SQR / 25q128JVSQ (2),
"USB_DFP1, USB_UFP1",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,24MHz,
Y2,Crystal_SMD_TXC_9HT11-2Pin_2.0x1.2mm_HandSoldering,1,32.768kHz,
