Designator,Mid X,Mid Y,Rotation,Layer
C1,132.26,-64.6,270.0,top
C10,143.9,-77.45,0.0,top
C11,143.9,-75.85,0.0,top
C12,151.335,-86.07,180.0,top
C13,164.71,-77.535,270.0,top
C14,166.81,-77.755,270.0,top
C15,166.86,-74.345,90.0,top
C16,164.74,-74.385,90.0,top
C17,151.355,-84.16,180.0,top
C18,151.345,-88.43,180.0,top
C19,140.45,-80.51,0.0,top
C2,134.77,-64.6,270.0,top
C20,157.97,-68.48,180.0,top
C21,157.95,-66.59,180.0,top
C22,157.94,-64.51,180.0,top
C23,148.11,-73.305,90.0,top
C24,146.44,-73.305,90.0,top
C25,146.29,-80.785,270.0,top
C26,147.96,-80.785,270.0,top
C27,170.21,-81.745,90.0,top
C28,172.38,-81.82,90.0,top
C29,174.63,-81.795,90.0,top
C3,137.28,-64.6,270.0,top
C30,118.77,-93.785,270.0,top
C31,169.15,-63.42,180.0,top
C32,169.18,-70.65,180.0,top
C4,145.24,-63.685,270.0,top
C5,146.88,-63.68,270.0,top
C6,148.6,-63.685,270.0,top
C7,150.2,-63.7,270.0,top
C8,146.06,-90.97,90.0,top
C9,143.745,-87.24,90.0,top
D1,109.34,-57.95,0.0,top
D2,106.77,-68.76,180.0,top
D3,174.14,-72.3,0.0,top
D4,156.08,-92.2425,90.0,top
D5,134.0925,-85.69,0.0,top
DI3,113.59,-76.5625,0.0,top
F1,123.88375,-64.38,90.0,top
FB1,126.02375,-64.3925,270.0,top
FB2,157.97,-62.51,180.0,top
J1,131.9,-54.67,270.0,top
J2,165.9,-54.67,270.0,top
J3,178.6,-77.845,0.0,top
J4,165.9,-101.03,270.0,top
J5,131.93,-101.03,270.0,top
J6,148.675,-96.2,270.0,top
J7,99.235,-66.75,270.0,top
J8,124.165,-76.485,90.0,bottom
L1,152.48,-68.01,0.0,top
NCP692,141.105,-64.331,270.0,top
P1,107.4545,-94.82,270.0,top
PROG1,177.64,-96.3,0.0,top
Q1,129.2525,-64.4,180.0,top
R1,112.48,-57.54,90.0,top
R10,157.87,-92.235,270.0,top
R11,110.52,-62.05,270.0,top
R12,109.105,-73.99,180.0,top
R13,109.23,-81.0025,180.0,top
R14,141.925,-87.21,90.0,top
R15,174.12,-74.19,0.0,top
R16,170.29,-74.52,180.0,top
R17,165.71,-89.225,270.0,top
R18,170.89,-91.63,180.0,top
R2,106.8,-61.89,90.0,top
R3,129.38,-61.375,180.0,top
R4,141.2,-67.375,0.0,top
R5,107.06,-53.48,180.0,top
R6,154.37,-66.14,0.0,top
R7,105.93,-66.285,90.0,top
R8,107.67,-65.785,90.0,top
R9,100.17,-81.88,180.0,top
SWD1,167.11,-94.28,90.0,top
U1,156.32,-76.29,270.0,top
U2,136.5,-59.475,180.0,top
U3,159.3275,-87.92,180.0,top
U4,112.56,-67.44,270.0,top
U5,169.705,-87.535,0.0,top
U6,136.32,-74.92,0.0,top
U7,169.15,-67.05,270.0,top
U8,169.3,-59.54,270.0,top
USB_DFP1,99.05,-75.32,270.0,top
USB_UFP1,99.05,-58.18,270.0,top
Y1,146.245,-87.42,270.0,top
Y2,147.95,-76.84,270.0,top
